model,factor_key,input_key,official_indicator_name_en,official_indicator_name_ru,source_name,unit,direction,normalization_method,within_factor_weight,notes_en
SAI_MGIMO_V3,A_YOUTH_OPPORTUNITY,student_pool_2035,"Modelled student pool aged near tertiary entry, 2035","Модельная численность потенциальной студенческой базы, 2035",UN World Population Prospects 2024,persons,higher_is_better,log-minmax p05-p95,0.4,Derived from official WPP 15-24 plus 0.45 of ages 25-29; no expert country score.
SAI_MGIMO_V3,A_YOUTH_OPPORTUNITY,pop_15_24_2035,"Population aged 15-24, 2035","Население 15-24 лет, 2035",UN World Population Prospects 2024,persons,higher_is_better,log-minmax p05-p95,0.25,Population cohort used consistently in both branches and student attraction views.
SAI_MGIMO_V3,A_YOUTH_OPPORTUNITY,student_pool_growth_2026_2035,"Growth of student pool, 2026-2035","Рост потенциальной студенческой базы, 2026-2035",UN World Population Prospects 2024,percent,higher_is_better,minmax p05-p95,0.25,Main youth-growth channel for fast-growing countries.
SAI_MGIMO_V3,A_YOUTH_OPPORTUNITY,student_pool_growth_2026_2050,"Growth of student pool, 2026-2050","Рост потенциальной студенческой базы, 2026-2050",UN World Population Prospects 2024,percent,higher_is_better,minmax p05-p95,0.1,Long-horizon demographic pressure indicator.
SAI_MGIMO_V3,A_OUTBOUND_MOBILITY_UIS,outbound_mobility_ratio_tertiary,"Outbound mobility ratio, all regions, both sexes (UIS estimate) (%)","Коэффициент исходящей академической мобильности UIS, %",UNESCO DataHub UIS,percent,higher_is_better,minmax p05-p95,1.0,Official UIS outbound mobility ratio; countries without a UIS row receive no SAI score or rank.
SAI_MGIMO_V3,A_LEGAL_PARTNERSHIP_CONTEXT,unfriendly_430r_status,"Unfriendly states and territories list, Government Order No. 430-r","Перечень недружественных государств и территорий, распоряжение N 430-р",Government of the Russian Federation / MID,binary hard filter,eligible_is_better,hard filter,0.85,Legal eligibility is an official-status filter, not an expert political score.
SAI_MGIMO_V3,A_LEGAL_PARTNERSHIP_CONTEXT,mgimo_partner_universities_count,MGIMO partner universities by country,Количество партнерских университетов МГИМО в стране,MGIMO official partner universities list,count,higher_is_better,log scaled 0-1,0.15,"Observed recruitment channel, not a political friendliness score."
SAI_MGIMO_V3,A_PROGRAM_RELEVANCE,program_relevance_score,Program and sector relevance score,Программно-отраслевая релевантность,Derived from WDI/WGI/profile indicators,0-1 index,higher_is_better,precomputed normalized index,1.0,Decomposed into profile indicators in the branch dashboard factor tabs.
SAI_MGIMO_V3,A_AFFORDABILITY_ACCESS,gdp_pc_ppp_current,"GDP per capita, PPP (current international $)","ВВП на душу населения по ППС, текущие международные доллары",World Bank WDI,international dollars,higher_is_better,log-minmax p05-p95,0.35,Ability-to-pay channel with limited weight.
SAI_MGIMO_V3,A_AFFORDABILITY_ACCESS,price_level_index,Price level ratio / purchasing power indicator,Индекс уровня цен / показатель покупательной способности,World Bank ICP/WDI,index,lower_is_better,inverse minmax p05-p95,0.65,Lower domestic price level can increase relative affordability of Russian education.
SAI_MGIMO_V3,A_DIGITAL_REACH,internet_users_pct,Individuals using the Internet (% of population),"Пользователи интернета, % населения",World Bank WDI,percent,higher_is_better,minmax p05-p95,1.0,Separate digital-access channel for recruiting and application communication.
SAI_MGIMO_V3,A_DATAQ,data_quality_coverage,Data quality / coverage score,Качество и полнота данных,Dashboard data-quality audit,0-1 index,higher_is_better,coverage score,1.0,Countries missing required evidence receive no SAI score or rank.
